SampleID	SubjectID	SampleType	HostSpecies	study_day	study_group	study_group_simple	sex	age	run	project	input	both_kept	host	nonhost	isControl	Keep
IA66.10.mos	IA66	Feces	Macaque	8mo	SIV.ART.8mo	SIV.ART	NA	NA	run3	Longitudinal	9841362	9544632	75190	9369060	FALSE	TRUE
IA66.1yr	IA66	Feces	NA	1yr	SIV.ART.1yr	SIV.ART	NA	NA	run4	Longitudinal	10603244	10454691	100908	10229311	FALSE	TRUE
IA66.20mo	IA66	Feces	NA	21mo	SIV.ART.21mo	SIV.ART	NA	NA	run4	Longitudinal	10278231	10105345	6871673	2999033	FALSE	TRUE
IA66.d0	IA66	Feces	Macaque	d0	pre.d0	pre	Female	10.27	run2	Longitudinal	5542278	5458406	5013	5398188	FALSE	TRUE
IA66.d125	IA66	Feces	Macaque	3mo	SIV.ART.3mo	SIV.ART	Female	10.8	run2	Longitudinal	5694309	5575269	816735	4680342	FALSE	TRUE
IA66.d35	IA66	Feces	Macaque	d35	SIV.d35	SIV	Female	10.55	run2	Longitudinal	4968431	4866990	80349	4730409	FALSE	TRUE
IA66.pre	IA66	Feces	NA	d0	SIV.d0	SIV	NA	NA	run4	Longitudinal	10384462	10240137	554157	9576007	FALSE	TRUE
KF35.10.mos	KF35	Feces	Macaque	8mo	SIV.ART.8mo	SIV.ART	NA	NA	run3	Longitudinal	7902778	7694541	70036	7556376	FALSE	TRUE
KF35.1yr	KF35	Feces	NA	1yr	SIV.ART.1yr	SIV.ART	NA	NA	run4	Longitudinal	8137293	7989651	80598	7825938	FALSE	TRUE
KF35.d0	KF35	Feces	Macaque	d0	pre.d0	pre	Female	6.35	run2	Longitudinal	5173886	5102425	23967	5039245	FALSE	TRUE
KF35.d35	KF35	Feces	Macaque	d35	SIV.d35	SIV	Female	6.62	run2	Longitudinal	5427292	5350858	1006188	4282282	FALSE	TRUE
KF35.pre	KF35	Feces	NA	d0	SIV.d0	SIV	NA	NA	run4	Longitudinal	10843994	10679816	582934	9976629	FALSE	TRUE
KG04.10.mos	KG04	Feces	Macaque	8mo	SIV.ART.8mo	SIV.ART	NA	NA	run3	Longitudinal	8090827	7867999	8590	7795470	FALSE	TRUE
KG04.19mo	KG04	Feces	NA	21mo	SIV.ART.21mo	SIV.ART	NA	NA	run4	Longitudinal	9968016	9802444	11097	9710189	FALSE	TRUE
KG04.1yr	KG04	Feces	NA	1yr	SIV.ART.1yr	SIV.ART	NA	NA	run4	Longitudinal	10682858	10495702	13840	10374653	FALSE	TRUE
KG04.d0	KG04	Feces	Macaque	d0	pre.d0	pre	Female	6.03	run2	Longitudinal	4744494	4679046	1753	4622623	FALSE	TRUE
KG04.d125	KG04	Feces	Macaque	3mo	SIV.ART.3mo	SIV.ART	Female	6.56	run2	Longitudinal	5362339	5261358	16840	5181959	FALSE	TRUE
KG04.d35	KG04	Feces	Macaque	d35	SIV.d35	SIV	Female	5.65	run2	Longitudinal	4884666	4802526	16529	4723362	FALSE	TRUE
KG04.pre	KG04	Feces	NA	d0	SIV.d0	SIV	NA	NA	run4	Longitudinal	9793218	9636702	1379722	8090124	FALSE	TRUE
KG56.10.mos	KG56	Feces	Macaque	8mo	SIV.ART.8mo	SIV.ART	NA	NA	run3	Longitudinal	7805478	7594371	82662	7428445	FALSE	TRUE
KG56.1yr	KG56	Feces	NA	1yr	SIV.ART.1yr	SIV.ART	NA	NA	run4	Longitudinal	10770060	10615619	272426	10238687	FALSE	TRUE
KG56.d0	KG56	Feces	Macaque	d0	pre.d0	pre	Female	6.28	run2	Longitudinal	5385044	5302667	4439	5227511	FALSE	TRUE
KG56.d125	KG56	Feces	Macaque	3mo	SIV.ART.3mo	SIV.ART	Female	6.81	run2	Longitudinal	5196221	5117503	33123	5024470	FALSE	TRUE
KG56.d35	KG56	Feces	Macaque	d35	SIV.d35	SIV	Female	6.31	run2	Longitudinal	5333991	5247863	27924	5143907	FALSE	TRUE
KG56.pre	KG56	Feces	NA	d0	SIV.d0	SIV	NA	NA	run4	Longitudinal	10326958	10173655	73198	9944440	FALSE	TRUE
KT85.10.mos	KT85	Feces	Macaque	8mo	SIV.ART.8mo	SIV.ART	NA	NA	run3	Longitudinal	11948890	11602461	49478	11446625	FALSE	TRUE
KT85.1yr	KT85	Feces	NA	1yr	SIV.ART.1yr	SIV.ART	NA	NA	run4	Longitudinal	9459624	9289072	22890	9180079	FALSE	TRUE
KT85.20mo	KT85	Feces	NA	21mo	SIV.ART.21mo	SIV.ART	NA	NA	run4	Longitudinal	10395741	10218794	56424	10032508	FALSE	TRUE
KT85.d0	KT85	Feces	Macaque	d0	pre.d0	pre	Female	5.37	run2	Longitudinal	6262568	6155257	8149	6074789	FALSE	TRUE
KT85.d125	KT85	Feces	Macaque	3mo	SIV.ART.3mo	SIV.ART	Female	5.9	run2	Longitudinal	4793281	4715328	64151	4579092	FALSE	TRUE
KT85.pre	KT85	Feces	NA	d0	SIV.d0	SIV	NA	NA	run4	Longitudinal	8673633	8537076	198816	8188357	FALSE	TRUE
KV82.10.mos	KV82	Feces	Macaque	8mo	SIV.ART.8mo	SIV.ART	NA	NA	run3	Longitudinal	7181042	6972534	21236	6889710	FALSE	TRUE
KV82.19mo	KV82	Feces	NA	21mo	SIV.ART.21mo	SIV.ART	NA	NA	run4	Longitudinal	10436113	10277742	85679	10110577	FALSE	TRUE
KV82.1yr	KV82	Feces	NA	1yr	SIV.ART.1yr	SIV.ART	NA	NA	run4	Longitudinal	9671499	9491695	115234	9288362	FALSE	TRUE
KV82.d0	KV82	Feces	Macaque	d0	pre.d0	pre	Female	5.15	run2	Longitudinal	6658603	6514758	4173	6433833	FALSE	TRUE
KV82.d125	KV82	Feces	Macaque	3mo	SIV.ART.3mo	SIV.ART	Female	5.68	run2	Longitudinal	3723175	3674160	39332	3590279	FALSE	TRUE
KV82.d35	KV82	Feces	Macaque	d35	SIV.d35	SIV	Female	5.43	run2	Longitudinal	5223019	5141527	82809	5014973	FALSE	TRUE
KV82.pre	KV82	Feces	NA	d0	SIV.d0	SIV	NA	NA	run4	Longitudinal	11026382	10863335	91845	10646579	FALSE	TRUE
